Week,Kickoff,Guest,Home,Pts_G,Pts_H
1,2023-06-03 17:00 CET,Berlin Thunder,Fehervar Enthroners,36,3
1,2023-06-03 17:00 CET,Hamburg Sea Devils,Panthers Wroclaw,25,34
1,2023-06-03 17:00 CET,Paris Musketeers,Cologne Centurions,24,17
1,2023-06-03 19:00 CET,Helvetic Guards,Barcelona Dragons,17,29
1,2023-06-04 13:00 CET,Raiders Tirol,Munich Ravens,59,38
1,2023-06-04 16:25 CET,Frankfurt Galaxy,Rhein Fire,9,33
1,2023-06-04 16:25 CET,Leipzig Kings,Prague Lions,18,15
2,2023-06-10 17:00 CET,Cologne Centurions,Prague Lions,23,14
2,2023-06-10 17:00 CET,Frankfurt Galaxy,Fehervar Enthroners,48,13
2,2023-06-10 17:00 CET,Stuttgart Surge,Paris Musketeers,29,20
2,2023-06-10 19:00 CET,Barcelona Dragons,Milano Seamen,41,33
2,2023-06-11 13:00 CET,Vienna Vikings,Berlin Thunder,27,24
2,2023-06-11 16:25 CET,Panthers Wroclaw,Leipzig Kings,31,6
2,2023-06-11 16:25 CET,Raiders Tirol,Helvetic Guards,22,7
2,2023-06-11 16:25 CET,Rhein Fire,Hamburg Sea Devils,27,22
3,2023-06-17 17:00 CET,Hamburg Sea Devils,Cologne Centurions,34,17
3,2023-06-17 18:00 CET,Prague Lions,Vienna Vikings,21,69
3,2023-06-17 18:00 CET,Barcelona Dragons,Raiders Tirol,13,29
3,2023-06-17 18:00 CET,Fehervar Enthroners,Leipzig Kings,24,47
3,2023-06-18 13:00 CET,Milano Seamen,Stuttgart Surge,26,40
3,2023-06-18 13:00 CET,Munich Ravens,Helvetic Guards,39,10
3,2023-06-18 16:25 CET,Paris Musketeers,Rhein Fire,28,58
3,2023-06-18 16:25 CET,Panthers Wroclaw,Berlin Thunder,27,36
4,2023-06-24 17:00 CET,Fehervar Enthroners,Panthers Wroclaw,33,63
4,2023-06-24 18:00 CET,Paris Musketeers,Frankfurt Galaxy,13,30
4,2023-06-24 18:00 CET,Leipzig Kings,Vienna Vikings,14,47
4,2023-06-24 19:00 CET,Munich Ravens,Barcelona Dragons,39,15
4,2023-06-25 13:00 CET,Helvetic Guards,Milano Seamen,0,32
4,2023-06-25 13:00CET,Raiders Tirol,Stuttgart Surge,3,6
